プラットフォーム,ファイル名,コンテンツ,実績,情報提供料合計,年月,処理日時
au,SalesSummary_202504_OWD_detail.csv,OWD_asuru_01,3400,1305.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_tachibana_01,600,225.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_keiko_03,3900,1494.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_matsuyama_01,1900,727.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_sugano_02,1700,637.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_hoshikaze_01,6000,2249.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_kanon_01,3500,1337.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_gyokusenhi_01,2300,862.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_fujita_01,1200,450.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_aron_01,1200,480.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_aokitomo_01,2400,900.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_tomoko_01,1200,480.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_reirin_01,2400,900.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_mimoe_01,3000,1125.0,202504,2025-07-16 17:41:37
au,SalesSummary_202504_OWD_detail.csv,OWD_niutouko_01,8300,3142.0,202504,2025-07-16 17:41:37
au合計,SalesSummary_202504_OWD_detail.csv,合計,121250,45861,202504,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_koyanagi_01,5200,1980.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_mian_01,1000,400.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_ophelia_01,2800,1107.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_mokuren_01,1500,600.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_kanon_01,1800,675.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_asuru_01,8300,3112.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_shape_01,37100,13425.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_isha_01,2600,974.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_ychigumi_01,1200,450.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_keiko_01,9400,3523.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_keiko_04,3500,1322.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_keiko_03,4100,1569.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_macalon_01,7300,2777.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_Milla_01,2900,1087.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_tshourei_01,5700,2220.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_shintaku_01,4000,1525.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_houjo_01,1000,375.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_reirin_01,3600,1375.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_yamasakirie_01,1000,375.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_koike_01,1300,487.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_mermaid_01,5600,2099.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_kasya_01,1300,487.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_klara_01,2000,761.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_ikai_01,3000,1125.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_gyokusenhi_01,2300,887.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_tsukikage_01,1000,375.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_shokita_01,500,200.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_matsuyama_01,1300,487.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_narusawa_01,2500,937.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_sugano_02,1700,637.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_daiyang_01,1200,450.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_tachibana_01,600,225.0,202505,2025-07-16 17:41:37
au,SalesSummary_202505_OWD_detail.csv,OWD_fujita_01,4200,1575.0,202505,2025-07-16 17:41:37
au合計,SalesSummary_202505_OWD_detail.csv,合計,132500,49603,202505,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_chazz_01,2600,974.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_shape_01,16100,5914.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_macalon_01,6100,2295.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_klara_01,700,262.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_fujita_01,2000,750.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_yuki_01,800,300.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_ophelia_01,2600,975.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_yamasakirie_01,1200,450.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_hakuryu_01,800,320.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_shintaku_01,1200,450.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_matsuyama_01,3900,1461.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_tomoko_01,2200,825.0,202506,2025-07-16 17:41:37
au,SalesSummary_202506_OWD_detail.csv,OWD_keiko_01,11700,4385.0,202506,2025-07-16 17:41:37
