番組ID,実績,CP売上負担額合計,情報提供料合計,ファイル名
OWD_aiga_01,800,20,300.0,SalesSummary_202402_OWD_detail.csv
OWD_aokitomo_01,1300,33,487.0,SalesSummary_202402_OWD_detail.csv
OWD_asuka_02,3500,88,1312.0,SalesSummary_202402_OWD_detail.csv
OWD_asuru_01,3000,50,1150.0,SalesSummary_202402_OWD_detail.csv
OWD_enseisyu_01,6000,300,2100.0,SalesSummary_202402_OWD_detail.csv
OWD_fujita_01,2400,60,900.0,SalesSummary_202402_OWD_detail.csv
OWD_hayuki_01,2400,61,899.0,SalesSummary_202402_OWD_detail.csv
OWD_hoshikaze_01,1800,45,675.0,SalesSummary_202402_OWD_detail.csv
OWD_isha_01,12640,318,4738.0,SalesSummary_202402_OWD_detail.csv
OWD_kairi_01,3300,83,1237.0,SalesSummary_202402_OWD_detail.csv
OWD_kasya_01,3300,83,1237.0,SalesSummary_202402_OWD_detail.csv
OWD_keiko_01,24900,490,9470.0,SalesSummary_202402_OWD_detail.csv
OWD_keiko_03,2600,66,974.0,SalesSummary_202402_OWD_detail.csv
OWD_keiko_04,6000,116,2284.0,SalesSummary_202402_OWD_detail.csv
OWD_kiko_01,2800,110,1010.0,SalesSummary_202402_OWD_detail.csv
OWD_klara_01,600,15,225.0,SalesSummary_202402_OWD_detail.csv
OWD_macalon_01,8800,183,3337.0,SalesSummary_202402_OWD_detail.csv
OWD_matsuyama_01,2200,0,880.0,SalesSummary_202402_OWD_detail.csv
OWD_mermaid_01,4600,116,1724.0,SalesSummary_202402_OWD_detail.csv
OWD_mian_01,1200,120,360.0,SalesSummary_202402_OWD_detail.csv
OWD_miesha_01,3000,0,1200.0,SalesSummary_202402_OWD_detail.csv
OWD_mikomaria_01,21300,1134,7386.0,SalesSummary_202402_OWD_detail.csv
OWD_miku_02,1300,130,390.0,SalesSummary_202402_OWD_detail.csv
OWD_mokuren_01,17600,374,6666.0,SalesSummary_202402_OWD_detail.csv
OWD_okada_01,3000,75,1125.0,SalesSummary_202402_OWD_detail.csv
OWD_ophelia_01,2800,71,1049.0,SalesSummary_202402_OWD_detail.csv
OWD_reirin_01,3500,88,1312.0,SalesSummary_202402_OWD_detail.csv
OWD_risui_01,1800,46,674.0,SalesSummary_202402_OWD_detail.csv
OWD_shape_01,43600,1018,16422.0,SalesSummary_202402_OWD_detail.csv
OWD_shintaku_01,5500,139,2061.0,SalesSummary_202402_OWD_detail.csv
OWD_soldona_01,2400,60,900.0,SalesSummary_202402_OWD_detail.csv
